event_id,event_name,timestamp,session_id,user_pseudo_id,device_type,experiment_variant,query_string,results_count,zero_results_flag,latency_ms,product_id,rank_position,cart_price
EVT_d864ae7d,search_query_submitted,2026-07-01 09:50:00,SES_ed5d23951a,USR_25218,desktop,Control_Keyword,snapple peach tea diet,14,False,475.0,,,
EVT_d2ae6c8e,search_query_submitted,2026-07-01 09:57:00,SES_8c5ffa2a39,USR_59595,tablet,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,16,False,125.0,,,
EVT_ccdddd70,search_query_submitted,2026-07-01 11:23:00,SES_22a7009992,USR_36962,desktop,Variant_B_AI_Semantic,snapple peach tea diet,26,False,153.0,,,
EVT_b1f12ff3,search_query_submitted,2026-07-01 14:40:00,SES_1fe21bdd07,USR_45054,mobile,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,29,False,169.0,,,
EVT_bff4f70f,search_result_clicked,2026-07-01 14:40:09,SES_1fe21bdd07,USR_45054,mobile,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,29,False,,KDP_SKU_1044,3.0,
EVT_d7456a16,search_to_cart_added,2026-07-01 14:40:54,SES_1fe21bdd07,USR_45054,mobile,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,29,False,,KDP_SKU_1044,3.0,18.72
EVT_1027363f,search_query_submitted,2026-07-01 17:57:00,SES_3b010dfd09,ANONYMOUS_GUEST,desktop,Control_Keyword,caffeine free organic energy drink,16,False,321.0,,,
EVT_078f3158,search_result_clicked,2026-07-01 17:57:06,SES_3b010dfd09,ANONYMOUS_GUEST,desktop,Control_Keyword,caffeine free organic energy drink,16,False,,KDP_SKU_1002,9.0,
EVT_21b76270,search_query_submitted,2026-07-01 18:37:00,SES_b3427d6e2a,USR_40137,mobile,Control_Keyword,snapple peach tea diet,18,False,454.0,,,
EVT_b0a753eb,search_result_clicked,2026-07-01 18:37:04,SES_b3427d6e2a,USR_40137,mobile,Control_Keyword,snapple peach tea diet,18,False,,KDP_SKU_1026,5.0,
EVT_a457a311,search_query_submitted,2026-07-01 18:51:00,SES_68ed829a49,USR_77653,mobile,Control_Keyword,dark roast k-cup,16,False,254.0,,,
EVT_db40a54d,search_result_clicked,2026-07-01 18:51:04,SES_68ed829a49,USR_77653,mobile,Control_Keyword,dark roast k-cup,16,False,,KDP_SKU_1059,2.0,
EVT_e56eae28,search_query_submitted,2026-07-01 19:35:00,SES_802163fffb,USR_90911,desktop,Control_Keyword,drpepr zero,23,False,499.0,,,
